[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	2914	3	2	0	2000	
2	2905	3	2	0	1800	
3	2906	3	2	0	1600	
4	2919	3	1	0	1400	
5	2908	3	1	0	1200	
6	2916	4	2	0	1000	
7	2914	4	2	0	800	
8	2905	5	2	0	600	
9	2913	8	4	0	400	
10	2912	15	7	0	200	
11	8666	3	2	2880	2000	
12	14435	5	1	2880	1800	
13	23068	9	3	2880	1600	
14	8668	3	2	2880	1400	
15	14432	5	3	2880	1200	
16	57646	23	3	2880	1000	
17	23072	9	5	2880	800	
18	57661	23	6	2880	600	
19	23075	9	9	2880	400	
20	51892	21	19	2880	200	
21	60510	12	1	5760	2000	
22	14450	3	2	5760	1800	
23	25988	5	1	5760	1600	
24	14448	3	2	5760	1400	
25	60514	12	2	5760	1200	
26	60514	12	3	5760	1000	
27	25960	5	4	5760	800	
28	60532	12	6	5760	600	
29	54758	11	8	5760	400	
30	193015	40	19	5760	200	
31	20194	3	1	8640	2000	
32	63387	9	1	8640	1800	
33	28830	4	2	8640	1600	
34	20199	3	2	8640	1400	
35	28838	4	3	8640	1200	
36	63395	9	4	8640	1000	
37	123867	17	4	8640	800	
38	54745	8	7	8640	600	
39	115240	16	9	8640	400	
40	6698999	931	19	8640	200	
41	60535	6	1	11520	2000	
42	37466	4	2	11520	1800	
43	25951	3	2	11520	1600	
44	37471	4	3	11520	1400	
45	60509	6	2	11520	1200	
46	60507	6	3	11520	1000	
47	60517	6	4	11520	800	
48	60508	6	6	11520	600	
49	244835	26	9	11520	400	
50	198767	21	18	11520	200	
51	31714	3	2	14400	2000	
52	4481557	374	3	14400	1800	
53	3718193	310	3	14400	1600	
54	46112	4	3	14400	1400	
55	2811013	236	4	14400	1200	
56	60527	5	3	14400	1000	
57	1875000	157	4	14400	800	
58	1399785	116	8	14400	600	
59	910137	76	9	14400	400	
60	463729	39	19	14400	200	
61	72030	5	1	17280	2000	
62	72039	5	1	17280	1800	
63	123877	9	2	17280	1600	
64	54758	4	2	17280	1400	
65	72029	5	3	17280	1200	
66	72035	5	4	17280	1000	
67	123868	9	5	17280	800	
68	279396	19	7	17280	600	
69	123913	9	10	17280	400	
70	6673070	463	19	17280	200	
71	43244	3	3	20160	2000	
72	43232	3	2	20160	1800	
73	83551	5	2	20160	1600	
74	63396	4	2	20160	1400	
75	184354	11	2	20160	1200	
76	63408	4	4	20160	1000	
77	83545	5	5	20160	800	
78	184349	11	6	20160	600	
79	164188	10	8	20160	400	
80	325479	20	19	20160	200	
81	72048	4	1	23040	2000	
82	164193	9	1	23040	1800	
83	72032	4	2	23040	1600	
84	72027	4	2	23040	1400	
85	72045	4	3	23040	1200	
86	72029	4	4	23040	1000	
87	279401	15	4	23040	800	
88	141149	8	6	23040	600	
89	256388	14	9	23040	400	
90	717174	38	18	23040	200	
91	650919	30	1	25920	2000	
92	80702	4	2	25920	1800	
93	54769	3	2	25920	1600	
94	106587	5	2	25920	1400	
95	132519	6	2	25920	1200	
96	573167	27	3	25920	1000	
97	132530	6	4	25920	800	
98	132519	6	6	25920	600	
99	417654	20	8	25920	400	
100	6690348	309	19	25920	200	
