[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	5832	2	2	0	2000	
2	5847	2	2	0	1800	
3	5829	2	2	0	1600	
4	5827	2	4	0	1400	
5	5842	4	3	0	1200	
6	5822	4	4	0	1000	
7	5822	5	4	0	800	
8	5829	6	6	0	600	
9	5840	9	8	0	400	
10	5827	17	16	0	200	
11	11582	3	4	2880	2000	
12	11588	4	4	2880	1800	
13	20228	8	4	2880	1600	
14	8704	2	5	2880	1400	
15	14462	5	6	2880	1200	
16	37525	20	9	2880	1000	
17	26005	12	8	2880	800	
18	46154	25	12	2880	600	
19	23127	11	18	2880	400	
20	49029	25	35	2880	200	
21	40384	7	4	5760	2000	
22	11590	2	4	5760	1800	
23	23109	5	4	5760	1600	
24	17347	4	5	5760	1400	
25	46145	13	7	5760	1200	
26	40402	11	8	5760	1000	
27	28876	7	9	5760	800	
28	46162	14	12	5760	600	
29	46171	14	17	5760	400	
30	172889	49	34	5760	200	
31	14496	2	4	8640	2000	
32	40400	7	4	8640	1800	
33	23104	3	4	8640	1600	
34	23113	4	5	8640	1400	
35	31762	5	6	8640	1200	
36	40392	7	8	8640	1000	
37	92231	18	9	8640	800	
38	49052	10	12	8640	600	
39	92263	18	17	8640	400	
40	5760133	1119	38	8640	200	
41	40395	4	3	11520	2000	
42	28874	3	4	11520	1800	
43	28865	3	4	11520	1600	
44	28877	4	5	11520	1400	
45	51905	7	7	11520	1200	
46	51904	7	6	11520	1000	
47	51905	8	9	11520	800	
48	51906	8	11	11520	600	
49	190178	29	17	11520	400	
50	178642	25	34	11520	200	
51	20245	2	3	14400	2000	
52	2597961	247	6	14400	1800	
53	2180278	253	7	14400	1600	
54	34639	4	5	14400	1400	
55	2108288	259	9	14400	1200	
56	49047	5	7	14400	1000	
57	1417108	175	10	14400	800	
58	1057088	130	13	14400	600	
59	697070	86	18	14400	400	
60	394637	46	35	14400	200	
61	40385	3	4	17280	2000	
62	40389	4	4	17280	1800	
63	74954	7	6	17280	1600	
64	40411	4	5	17280	1400	
65	57663	6	5	17280	1200	
66	40407	4	7	17280	1000	
67	92232	9	9	17280	800	
68	213207	21	12	17280	600	
69	92225	9	18	17280	400	
70	5794704	564	38	17280	200	
71	25981	2	3	20160	2000	
72	25997	2	4	20160	1800	
73	46145	4	6	20160	1600	
74	46155	4	4	20160	1400	
75	146950	13	6	20160	1200	
76	46148	4	6	20160	1000	
77	66314	5	9	20160	800	
78	167114	13	12	20160	600	
79	126790	11	18	20160	400	
80	288073	24	34	20160	200	
81	51903	3	3	23040	2000	
82	98014	7	4	23040	1800	
83	51920	3	4	23040	1600	
84	51907	4	5	23040	1400	
85	51913	4	6	23040	1200	
86	51908	4	7	23040	1000	
87	213199	16	11	23040	800	
88	121057	9	11	23040	600	
89	190150	14	18	23040	400	
90	604877	44	35	23040	200	
91	394637	16	5	25920	2000	
92	57672	3	4	25920	1800	
93	57678	3	4	25920	1600	
94	57674	4	6	25920	1400	
95	109518	8	5	25920	1200	
96	342806	24	8	25920	1000	
97	109530	7	9	25920	800	
98	109508	7	10	25920	600	
99	316866	21	18	25920	400	
100	5786061	375	38	25920	200	
