[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	6146	4	1	0	2000	
2	6146	4	2	0	1800	
3	6153	5	2	0	1600	
4	6142	6	3	0	1400	
5	6155	6	1	0	1200	
6	6161	7	2	0	1000	
7	6144	9	3	0	800	
8	6143	11	4	0	600	
9	6144	17	6	0	400	
10	6159	32	13	0	200	
11	29183	8	1	2880	2000	
12	40705	12	1	2880	1800	
13	75273	24	1	2880	1600	
14	26303	7	1	2880	1400	
15	40708	12	2	2880	1200	
16	204891	69	3	2880	1000	
17	83919	27	2	2880	800	
18	207773	70	4	2880	600	
19	81040	26	6	2880	400	
20	193361	65	13	2880	200	
21	207761	35	2	5760	2000	
22	46472	7	1	5760	1800	
23	75270	12	1	5760	1600	
24	46461	7	1	5760	1400	
25	196234	33	3	5760	1200	
26	207760	35	3	5760	1000	
27	86795	14	3	5760	800	
28	207771	35	4	5760	600	
29	201994	34	7	5760	400	
30	743549	128	13	5760	200	
31	66631	7	1	8640	2000	
32	204864	23	2	8640	1800	
33	75266	8	1	8640	1600	
34	75262	8	1	8640	1400	
35	83910	9	2	8640	1200	
36	204873	23	4	8640	1000	
37	438154	50	3	8640	800	
38	213520	24	3	8640	600	
39	412255	47	6	8640	400	
40	25874612	2994	13	8640	200	
41	213515	18	1	11520	2000	
42	98302	8	1	11520	1800	
43	98307	8	1	11520	1600	
44	98315	8	1	11520	1400	
45	202024	17	1	11520	1200	
46	213508	18	2	11520	1000	
47	213508	18	3	11520	800	
48	213508	18	4	11520	600	
49	904731	78	7	11520	400	
50	743454	64	12	11520	200	
51	92544	6	1	14400	2000	
52	16091821	1117	3	14400	1800	
53	12721630	883	3	14400	1600	
54	135745	9	1	14400	1400	
55	10028837	696	3	14400	1200	
56	207748	14	3	14400	1000	
57	7019246	487	4	14400	800	
58	5392050	374	5	14400	600	
59	3447865	239	7	14400	400	
60	1763014	122	13	14400	200	
61	213507	12	1	17280	2000	
62	213517	12	1	17280	1800	
63	420880	24	2	17280	1600	
64	178946	10	1	17280	1400	
65	230790	13	1	17280	1200	
66	213512	12	2	17280	1000	
67	438156	25	3	17280	800	
68	1025704	59	4	17280	600	
69	438156	25	7	17280	400	
70	25891895	1498	13	17280	200	
71	106954	5	2	20160	2000	
72	147261	7	1	20160	1800	
73	248063	12	1	20160	1600	
74	227907	11	2	20160	1400	
75	651281	32	2	20160	1200	
76	207767	10	3	20160	1000	
77	268238	13	2	20160	800	
78	651298	32	3	20160	600	
79	610952	30	6	20160	400	
80	1256103	62	12	20160	200	
81	213504	9	1	23040	2000	
82	513044	22	1	23040	1800	
83	190469	8	1	23040	1600	
84	282630	12	1	23040	1400	
85	213502	9	2	23040	1200	
86	213507	9	2	23040	1000	
87	1042983	45	4	23040	800	
88	513040	22	4	23040	600	
89	904733	39	6	23040	400	
90	2701891	117	13	23040	200	
91	2390814	92	2	25920	2000	
92	213538	8	1	25920	1800	
93	213510	8	1	25920	1600	
94	343104	13	1	25920	1400	
95	446790	17	2	25920	1200	
96	2105693	81	3	25920	1000	
97	446792	17	2	25920	800	
98	446785	17	4	25920	600	
99	1535438	59	6	25920	400	
100	25900535	999	13	25920	200	
