[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	3956	3	3	0	2000	
2	3941	3	3	0	1800	
3	3931	4	4	0	1600	
4	3948	4	4	0	1400	
5	3935	4	4	0	1200	
6	3941	5	5	0	1000	
7	3929	6	6	0	800	
8	3942	7	7	0	600	
9	3941	11	11	0	400	
10	3933	20	20	0	200	
11	9694	4	2	2880	2000	
12	12569	6	2	2880	1800	
13	24105	13	2	2880	1600	
14	9688	4	4	2880	1400	
15	12578	6	3	2880	1200	
16	52908	31	5	2880	1000	
17	24105	13	6	2880	800	
18	52905	31	8	2880	600	
19	24118	13	12	2880	400	
20	47135	28	25	2880	200	
21	55779	16	3	5760	2000	
22	15454	4	3	5760	1800	
23	26981	7	2	5760	1600	
24	15449	4	3	5760	1400	
25	55771	16	5	5760	1200	
26	55783	16	5	5760	1000	
27	26982	7	6	5760	800	
28	55776	16	9	5760	600	
29	50014	15	13	5760	400	
30	176760	55	26	5760	200	
31	21210	4	2	8640	2000	
32	55769	11	2	8640	1800	
33	29854	5	2	8640	1600	
34	21213	4	3	8640	1400	
35	29849	5	4	8640	1200	
36	55781	11	4	8640	1000	
37	107609	22	6	8640	800	
38	55772	11	8	8640	600	
39	107625	22	11	8640	400	
40	6017443	1260	25	8640	200	
41	61534	9	2	11520	2000	
42	26981	4	2	11520	1800	
43	26978	4	3	11520	1600	
44	26976	4	3	11520	1400	
45	61531	9	4	11520	1200	
46	61529	9	4	11520	1000	
47	61531	9	6	11520	800	
48	61542	9	8	11520	600	
49	222817	35	12	11520	400	
50	176746	27	25	11520	200	
51	32738	4	3	14400	2000	
52	4079378	513	4	14400	1800	
53	3344802	420	4	14400	1600	
54	32728	4	4	14400	1400	
55	2509602	315	5	14400	1200	
56	61530	7	4	14400	1000	
57	1732071	218	7	14400	800	
58	1256799	158	9	14400	600	
59	839192	105	13	14400	400	
60	421549	52	25	14400	200	
61	55777	6	2	17280	2000	
62	55797	6	2	17280	1800	
63	124892	12	3	17280	1600	
64	55780	5	3	17280	1400	
65	55772	6	4	17280	1200	
66	55790	6	5	17280	1000	
67	107617	11	7	17280	800	
68	245856	25	8	17280	600	
69	107626	11	11	17280	400	
70	6034729	632	26	17280	200	
71	44258	3	2	20160	2000	
72	44257	4	3	20160	1800	
73	84573	7	2	20160	1600	
74	64426	5	3	20160	1400	
75	165212	15	3	20160	1200	
76	64422	5	5	20160	1000	
77	84583	7	6	20160	800	
78	165215	14	8	20160	600	
79	145050	13	13	20160	400	
80	306341	27	25	20160	200	
81	73077	5	2	23040	2000	
82	142176	11	2	23040	1800	
83	73067	5	2	23040	1600	
84	73063	6	3	23040	1400	
85	73057	5	4	23040	1200	
86	73075	5	5	23040	1000	
87	257376	20	6	23040	800	
88	142171	11	8	23040	600	
89	234342	18	12	23040	400	
90	626019	49	25	23040	200	
91	600122	41	3	25920	2000	
92	55815	4	2	25920	1800	
93	55768	4	3	25920	1600	
94	81692	6	3	25920	1400	
95	133538	9	4	25920	1200	
96	522334	36	5	25920	1000	
97	107610	8	5	25920	800	
98	107638	8	7	25920	600	
99	366816	26	13	25920	400	
100	6043368	422	26	25920	200	
