[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	4615	4	0	0	2000	
2	4576	5	1	0	1800	
3	4578	5	1	0	1600	
4	4601	7	1	0	1400	
5	4580	8	1	0	1200	
6	4578	7	1	0	1000	
7	4583	9	1	0	800	
8	4587	13	2	0	600	
9	4584	19	3	0	400	
10	4598	36	5	0	200	
11	21889	8	0	2880	2000	
12	21858	9	0	2880	1800	
13	53559	22	0	2880	1600	
14	18978	7	0	2880	1400	
15	24738	10	0	2880	1200	
16	116910	52	1	2880	1000	
17	53542	22	1	2880	800	
18	119809	53	1	2880	600	
19	53555	22	3	2880	400	
20	125566	54	5	2880	200	
21	96741	23	0	5760	2000	
22	21879	5	0	5760	1800	
23	56421	12	0	5760	1600	
24	33377	7	1	5760	1400	
25	125543	28	1	5760	1200	
26	119802	27	1	5760	1000	
27	56432	12	1	5760	800	
28	137077	30	2	5760	600	
29	125539	27	2	5760	400	
30	459692	102	5	5760	200	
31	47791	7	1	8640	2000	
32	142818	21	0	8640	1800	
33	56427	8	0	8640	1600	
34	47783	7	1	8640	1400	
35	56432	8	1	8640	1200	
36	116902	18	1	8640	1000	
37	281097	42	1	8640	800	
38	134183	20	1	8640	600	
39	263796	39	2	8640	400	
40	15971500	2304	8	8640	200	
41	96750	12	0	11520	2000	
42	73702	8	1	11520	1800	
43	62197	7	1	11520	1600	
44	62179	7	0	11520	1400	
45	131338	15	1	11520	1200	
46	119779	14	1	11520	1000	
47	131337	15	1	11520	800	
48	142824	16	2	11520	600	
49	580596	64	2	11520	400	
50	453875	50	5	11520	200	
51	62180	5	0	14400	2000	
52	7464185	701	3	14400	1800	
53	8860772	766	3	14400	1600	
54	90982	8	1	14400	1400	
55	6182381	545	2	14400	1200	
56	119785	11	1	14400	1000	
57	4439976	384	2	14400	800	
58	3100802	274	3	14400	600	
59	2179057	188	4	14400	400	
60	1084636	97	6	14400	200	
61	108261	9	0	17280	2000	
62	142834	11	0	17280	1800	
63	298352	21	1	17280	1600	
64	108259	8	1	17280	1400	
65	125545	10	1	17280	1200	
66	125538	10	1	17280	1000	
67	281098	21	1	17280	800	
68	661253	47	2	17280	600	
69	263792	20	2	17280	400	
70	15988784	1154	8	17280	200	
71	85225	5	1	20160	2000	
72	65073	5	0	20160	1800	
73	186020	12	0	20160	1600	
74	145714	9	1	20160	1400	
75	407805	26	0	20160	1200	
76	145705	9	1	20160	1000	
77	186042	11	3	20160	800	
78	427950	27	2	20160	600	
79	387622	25	3	20160	400	
80	811030	51	5	20160	200	
81	96740	6	0	23040	2000	
82	350192	20	0	23040	1800	
83	142822	8	0	23040	1600	
84	165872	9	0	23040	1400	
85	142827	8	1	23040	1200	
86	119799	7	1	23040	1000	
87	672767	36	2	23040	800	
88	327149	18	1	23040	600	
89	580610	33	2	23040	400	
90	1663499	93	5	23040	200	
91	1067314	58	0	25920	2000	
92	160108	8	1	25920	1800	
93	134186	7	1	25920	1600	
94	211941	11	1	25920	1400	
95	263786	14	0	25920	1200	
96	1170992	60	1	25920	1000	
97	289701	14	1	25920	800	
98	289702	14	2	25920	600	
99	963631	48	2	25920	400	
100	15945572	767	8	25920	200	
