[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	3804	1	2	0	2000	
2	3806	1	2	0	1800	
3	3808	2	3	0	1600	
4	3813	2	2	0	1400	
5	3808	3	3	0	1200	
6	3808	2	3	0	1000	
7	3809	4	5	0	800	
8	3822	4	5	0	600	
9	3830	6	9	0	400	
10	3808	12	15	0	200	
11	9580	2	2	2880	2000	
12	12458	3	2	2880	1800	
13	21091	6	2	2880	1600	
14	9565	2	2	2880	1400	
15	12455	4	2	2880	1200	
16	47016	15	3	2880	1000	
17	21087	8	3	2880	800	
18	47024	18	5	2880	600	
19	21090	7	9	2880	400	
20	44130	18	17	2880	200	
21	49916	8	2	5760	2000	
22	15333	2	2	5760	1800	
23	21088	3	2	5760	1600	
24	15327	2	1	5760	1400	
25	49914	10	3	5760	1200	
26	49889	8	3	5760	1000	
27	21110	4	4	5760	800	
28	49891	10	5	5760	600	
29	44141	9	8	5760	400	
30	153592	34	17	5760	200	
31	21093	2	2	8640	2000	
32	47041	5	2	8640	1800	
33	21115	2	2	8640	1600	
34	21089	2	1	8640	1400	
35	21091	3	2	8640	1200	
36	47015	5	3	8640	1000	
37	98855	13	4	8640	800	
38	47005	6	5	8640	600	
39	90213	12	7	8640	400	
40	5231069	786	17	8640	200	
41	49901	4	2	11520	2000	
42	26853	2	2	11520	1800	
43	26880	2	2	11520	1600	
44	26868	2	1	11520	1400	
45	49893	5	2	11520	1200	
46	49889	4	3	11520	1000	
47	49888	5	3	11520	800	
48	49910	5	6	11520	600	
49	199652	21	8	11520	400	
50	153574	17	16	11520	200	
51	32607	2	2	14400	2000	
52	3503193	243	3	14400	1800	
53	2912667	202	3	14400	1600	
54	32608	2	1	14400	1400	
55	2192672	181	4	14400	1200	
56	47012	3	3	14400	1000	
57	1472683	122	5	14400	800	
58	1098268	91	7	14400	600	
59	723836	60	9	14400	400	
60	363818	33	15	14400	200	
61	55650	3	2	17280	2000	
62	55652	3	2	17280	1800	
63	107496	6	2	17280	1600	
64	38369	2	1	17280	1400	
65	55653	4	2	17280	1200	
66	55646	3	3	17280	1000	
67	107492	7	4	17280	800	
68	211172	15	5	17280	600	
69	90218	6	8	17280	400	
70	5274281	398	17	17280	200	
71	23973	1	2	20160	2000	
72	44133	2	2	20160	1800	
73	64298	3	2	20160	1600	
74	64290	3	1	20160	1400	
75	144933	9	2	20160	1200	
76	64286	3	3	20160	1000	
77	64293	4	3	20160	800	
78	144966	9	6	20160	600	
79	144926	9	8	20160	400	
80	265892	17	16	20160	200	
81	49886	2	2	23040	2000	
82	119008	5	2	23040	1800	
83	49895	2	2	23040	1600	
84	72935	3	1	23040	1400	
85	49886	3	2	23040	1200	
86	49900	2	3	23040	1000	
87	234216	12	3	23040	800	
88	119012	6	5	23040	600	
89	211171	11	8	23040	400	
90	556785	32	15	23040	200	
91	496301	19	2	25920	2000	
92	55659	2	2	25920	1800	
93	55644	2	2	25920	1600	
94	81565	3	1	25920	1400	
95	107490	5	2	25920	1200	
96	444458	17	2	25920	1000	
97	107494	5	3	25920	800	
98	107487	5	5	25920	600	
99	340768	16	8	25920	400	
100	5265635	264	17	25920	200	
