[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	7790	4	2	0	2000	
2	7774	4	2	0	1800	
3	7773	5	3	0	1600	
4	7776	5	3	0	1400	
5	7777	6	3	0	1200	
6	7777	7	4	0	1000	
7	7779	8	4	0	800	
8	7778	10	5	0	600	
9	7783	14	7	0	400	
10	7791	28	15	0	200	
11	22177	6	3	2880	2000	
12	30837	9	3	2880	1800	
13	53877	17	3	2880	1600	
14	19296	5	5	2880	1400	
15	30826	9	5	2880	1200	
16	128755	44	9	2880	1000	
17	53877	17	7	2880	800	
18	125871	43	16	2880	600	
19	53869	17	14	2880	400	
20	120145	41	44	2880	200	
21	134503	23	5	5760	2000	
22	30814	5	5	5760	1800	
23	53865	9	5	5760	1600	
24	36581	6	7	5760	1400	
25	128742	22	8	5760	1200	
26	128744	22	9	5760	1000	
27	53860	9	11	5760	800	
28	128781	22	15	5760	600	
29	128746	22	23	5760	400	
30	445604	80	59	5760	200	
31	42339	5	6	8640	2000	
32	137385	16	6	8640	1800	
33	59621	7	8	8640	1600	
34	50990	6	9	8640	1400	
35	59622	7	10	8640	1200	
36	128742	15	11	8640	1000	
37	275638	33	14	8640	800	
38	128747	15	19	8640	600	
39	258351	31	30	8640	400	
40	15257560	1839	60	8640	200	
41	134509	12	5	11520	2000	
42	65377	6	6	11520	1800	
43	53884	5	8	11520	1600	
44	65376	6	9	11520	1400	
45	134502	12	9	11520	1200	
46	134509	12	11	11520	1000	
47	134511	12	14	11520	800	
48	134509	12	20	11520	600	
49	560752	50	29	11520	400	
50	445554	40	59	11520	200	
51	65397	5	6	14400	2000	
52	10232342	744	8	14400	1800	
53	8532792	621	8	14400	1600	
54	94179	7	9	14400	1400	
55	6372764	461	11	14400	1200	
56	137383	10	12	14400	1000	
57	4241556	307	16	14400	800	
58	3190356	231	21	14400	600	
59	2081449	150	30	14400	400	
60	1044622	76	59	14400	200	
61	146026	9	5	17280	2000	
62	146038	9	6	17280	1800	
63	284270	17	6	17280	1600	
64	111455	7	8	17280	1400	
65	128738	8	9	17280	1200	
66	128734	8	11	17280	1000	
67	266984	16	15	17280	800	
68	612597	37	19	17280	600	
69	266985	16	30	17280	400	
70	15248916	919	60	17280	200	
71	68254	4	6	20160	2000	
72	88414	5	6	20160	1800	
73	169083	9	6	20160	1600	
74	128746	7	8	20160	1400	
75	410986	21	10	20160	1200	
76	128744	7	11	20160	1000	
77	169053	9	14	20160	800	
78	390855	20	20	20160	600	
79	370651	19	28	20160	400	
80	753723	39	59	20160	200	
81	146021	7	5	23040	2000	
82	330350	15	6	23040	1800	
83	146015	7	8	23040	1600	
84	169075	8	8	23040	1400	
85	146019	7	10	23040	1200	
86	146027	7	12	23040	1000	
87	652940	30	14	23040	800	
88	307304	14	19	23040	600	
89	560750	25	29	23040	400	
90	1597561	72	59	23040	200	
91	1459317	59	6	25920	2000	
92	137377	6	6	25920	1800	
93	111453	5	7	25920	1600	
94	215135	9	8	25920	1400	
95	292901	12	9	25920	1200	
96	1277876	52	11	25920	1000	
97	266980	11	15	25920	800	
98	266974	11	19	25920	600	
99	940899	38	29	25920	400	
100	15300770	616	60	25920	200	
