[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	5020	2	2	0	2000	
2	5045	2	2	0	1800	
3	5026	2	2	0	1600	
4	5023	3	3	0	1400	
5	5023	3	4	0	1200	
6	5014	2	4	0	1000	
7	5014	4	6	0	800	
8	5014	5	7	0	600	
9	5018	7	11	0	400	
10	5028	13	20	0	200	
11	13660	3	2	2880	2000	
12	16549	4	1	2880	1800	
13	16539	4	2	2880	1600	
14	13674	3	2	2880	1400	
15	16537	4	2	2880	1200	
16	48226	15	5	2880	1000	
17	25195	7	5	2880	800	
18	56872	18	7	2880	600	
19	28058	8	10	2880	400	
20	65501	21	20	2880	200	
21	28054	4	2	5760	2000	
22	16536	2	1	5760	1800	
23	33844	5	1	5760	1600	
24	22307	3	2	5760	1400	
25	45362	7	2	5760	1200	
26	51101	8	4	5760	1000	
27	33820	5	4	5760	800	
28	62621	10	7	5760	600	
29	62620	10	9	5760	400	
30	252729	43	19	5760	200	
31	30960	3	1	8640	2000	
32	74136	8	2	8640	1800	
33	22297	2	2	8640	1600	
34	30942	3	3	8640	1400	
35	22293	2	3	8640	1200	
36	74137	8	4	8640	1000	
37	108705	12	5	8640	800	
38	74135	8	6	8640	600	
39	125989	14	9	8640	400	
40	7772474	899	20	8640	200	
41	28101	2	2	11520	2000	
42	39581	3	2	11520	1800	
43	39586	3	2	11520	1600	
44	39594	3	3	11520	1400	
45	51098	4	3	11520	1200	
46	51111	4	4	11520	1000	
47	62617	5	5	11520	800	
48	62637	5	6	11520	600	
49	269988	23	8	11520	400	
50	246957	21	19	11520	200	
51	33812	2	1	14400	2000	
52	2006726	139	4	14400	1800	
53	2006666	139	4	14400	1600	
54	33826	2	3	14400	1400	
55	1992271	138	4	14400	1200	
56	77015	5	3	14400	1000	
57	1675491	116	5	14400	800	
58	1373090	95	6	14400	600	
59	984253	68	9	14400	400	
60	537839	37	21	14400	200	
61	74148	4	1	17280	2000	
62	74144	4	1	17280	1800	
63	74143	4	2	17280	1600	
64	39574	2	3	17280	1400	
65	74141	4	3	17280	1200	
66	74148	4	3	17280	1000	
67	108702	6	5	17280	800	
68	333347	19	7	17280	600	
69	143260	8	10	17280	400	
70	7798400	451	20	17280	200	
71	45332	2	1	20160	2000	
72	45354	2	1	20160	1800	
73	105823	5	1	20160	1600	
74	85657	4	3	20160	1400	
75	146152	7	3	20160	1200	
76	85657	4	5	20160	1000	
77	105816	5	5	20160	800	
78	226801	11	6	20160	600	
79	246937	12	11	20160	400	
80	408223	20	20	20160	200	
81	28065	1	2	23040	2000	
82	189351	8	2	23040	1800	
83	51095	2	2	23040	1600	
84	97181	4	2	23040	1400	
85	51097	2	3	23040	1200	
86	51100	2	4	23040	1000	
87	258461	11	4	23040	800	
88	189339	8	7	23040	600	
89	304559	13	10	23040	400	
90	880557	38	20	23040	200	
91	264215	10	2	25920	2000	
92	82778	3	2	25920	1800	
93	82773	3	2	25920	1600	
94	134628	5	3	25920	1400	
95	108705	4	3	25920	1200	
96	471588	18	3	25920	1000	
97	108699	4	4	25920	800	
98	134653	5	6	25920	600	
99	445674	17	8	25920	400	
100	7832970	302	20	25920	200	
