[Simulation_Number]	[Simulation_Duration]	[Head_Collision_Amount]	[Tail_Collision_Amount]	[Replication_Repair_Duration]	[Transcription_Start_Delay]	
1	3984	5	1	0	2000	
2	3986	5	1	0	1800	
3	3991	5	1	0	1600	
4	3998	6	2	0	1400	
5	3988	7	2	0	1200	
6	3998	7	2	0	1000	
7	3982	9	3	0	800	
8	3988	11	3	0	600	
9	3984	17	6	0	400	
10	3993	31	10	0	200	
11	21267	9	1	2880	2000	
12	29918	14	1	2880	1800	
13	55849	28	1	2880	1600	
14	21264	9	2	2880	1400	
15	29928	14	1	2880	1200	
16	133599	69	2	2880	1000	
17	64468	31	2	2880	800	
18	145127	73	3	2880	600	
19	61597	29	5	2880	400	
20	139356	69	10	2880	200	
21	113433	32	0	5760	2000	
22	32785	8	1	5760	1800	
23	55828	14	1	5760	1600	
24	38555	9	1	5760	1400	
25	147998	37	2	5760	1200	
26	136472	35	2	5760	1000	
27	67355	16	2	5760	800	
28	148002	37	3	5760	600	
29	142240	36	5	5760	400	
30	539753	136	9	5760	200	
31	47215	8	1	8640	2000	
32	150884	26	1	8640	1800	
33	55829	10	1	8640	1600	
34	55825	9	1	8640	1400	
35	64484	11	2	8640	1200	
36	159510	26	2	8640	1000	
37	297752	52	2	8640	800	
38	150885	25	4	8640	600	
39	297813	51	4	8640	400	
40	18830768	3186	10	8640	200	
41	165284	21	1	11520	2000	
42	73103	9	1	11520	1800	
43	61584	8	1	11520	1600	
44	84629	10	1	11520	1400	
45	153751	19	2	11520	1200	
46	142228	18	3	11520	1000	
47	142234	18	3	11520	800	
48	153746	19	3	11520	600	
49	660643	84	5	11520	400	
50	533921	68	9	11520	200	
51	75984	7	1	14400	2000	
52	12172641	1251	2	14400	1800	
53	9464997	994	3	14400	1600	
54	104795	10	1	14400	1400	
55	7593000	779	2	14400	1200	
56	133584	14	1	14400	1000	
57	4727384	496	4	14400	800	
58	3805801	390	3	14400	600	
59	2495290	256	5	14400	400	
60	1285631	130	10	14400	200	
61	159510	14	0	17280	2000	
62	159523	14	1	17280	1800	
63	315057	27	2	17280	1600	
64	142240	12	1	17280	1400	
65	159511	13	2	17280	1200	
66	159503	13	2	17280	1000	
67	349588	29	2	17280	800	
68	729770	62	4	17280	600	
69	315038	27	5	17280	400	
70	18856695	1596	10	17280	200	
71	84627	6	1	20160	2000	
72	104790	8	1	20160	1800	
73	185424	14	1	20160	1600	
74	165274	12	1	20160	1400	
75	487839	36	1	20160	1200	
76	165263	12	2	20160	1000	
77	205581	15	2	20160	800	
78	467671	34	3	20160	600	
79	427343	32	6	20160	400	
80	911208	66	10	20160	200	
81	165273	11	1	23040	2000	
82	395692	25	2	23040	1800	
83	142231	9	2	23040	1600	
84	165264	11	1	23040	1400	
85	165271	10	3	23040	1200	
86	165266	10	3	23040	1000	
87	718248	47	2	23040	800	
88	372634	24	3	23040	600	
89	672194	43	4	23040	400	
90	1962418	125	9	23040	200	
91	1274076	81	1	25920	2000	
92	159511	9	1	25920	1800	
93	133585	8	1	25920	1600	
94	211353	13	1	25920	1400	
95	340952	19	1	25920	1200	
96	1377772	81	2	25920	1000	
97	315032	18	2	25920	800	
98	315041	18	3	25920	600	
99	1118554	64	4	25920	400	
100	18899911	1068	10	25920	200	
